#2019-09-17
post_id,author_id,published_at,image_count,favorites,comments
4042340,58,2012-12-30 23:39:48,13,2,0
2216333,58,2011-12-24 22:27:45,13,6,4
1919709,58,2011-09-21 23:29:41,7,4,4
1901237,58,2011-09-14 20:39:33,13,3,0
35158,58,2010-05-17 15:47:47,0,0,3
34476,58,2010-04-21 14:49:58,0,0,2
34027,58,2010-03-26 16:13:29,0,0,4
2072,58,2010-01-20 19:59:57,0,33,0
1984,58,2010-01-13 16:52:32,0,0,19
1659,58,2009-12-22 03:58:43,13,2,13
5501026,58,2009-11-20 16:30:16,0,0,0
1301,58,2009-11-03 11:55:31,0,0,7
1219,58,2009-10-24 12:37:26,30,1,10
706,58,2009-06-22 13:22:52,0,0,16
5500241,58,2009-05-13 21:35:48,0,0,0
385,58,2009-04-12 22:56:19,0,0,8
