#2019-09-21
post_id,author_id,published_at,image_count,favorites,comments
19434264,3394968,2018-06-20 13:36:21,9,23,1
19218689,35127,2018-06-10 13:27:03,9,29,3
17112030,1457607,2018-03-25 20:05:29,12,22,4
16125233,1574339,2017-12-30 09:16:21,24,3,0
13482719,1520974,2016-09-08 16:54:08,10,6,0
14688426,254104,2017-05-29 10:06:11,12,26,2
32810361,1044268,2019-05-16 16:12:57,5,16,0
13495791,1127478,2016-09-12 19:54:45,15,1,0
14113360,1680342,2017-02-18 15:48:38,7,20,0
30432949,1182492,2019-04-07 22:10:55,13,576,14
15775852,2598668,2017-11-18 12:52:12,9,23,0
19858372,1845744,2018-07-09 10:26:38,10,41,6
14396787,1305251,2017-04-10 12:18:47,9,12,0
22607065,2794987,2018-10-02 00:52:48,6,4,0
19492614,2323427,2018-06-23 01:40:00,3,14,2
16264054,1816228,2018-01-15 22:06:57,6,17,1
13709863,1613328,2016-11-12 13:47:04,8,9,3
14830265,237264,2017-06-21 10:17:15,16,5,0
15974914,2645709,2017-12-13 22:58:58,18,24,3
16228500,2849746,2018-01-11 11:53:59,19,7,0
42888025,2587204,2019-07-07 19:02:50,9,17,0
24338606,1194087,2018-11-15 12:28:21,19,50,1
13673372,1160785,2016-11-03 02:45:31,10,0,0
13673372,1160785,2016-11-03 02:45:31,10,0,0
51420454,1006588,2019-09-02 10:05:25,10,15,0
12943100,395767,2016-03-20 21:34:03,12,4,1
23868387,1712632,2018-11-01 21:06:19,13,38,4
22818172,1611896,2018-10-07 14:37:03,9,22,1
38142844,1065640,2019-06-10 10:02:37,20,174,3
14594789,1899042,2017-05-13 23:36:19,6,31,0
18930737,2758519,2018-05-28 10:06:17,9,24,4
23320135,3486701,2018-10-18 22:57:01,9,19,2
15295463,2412975,2017-09-05 19:41:14,5,4,4
18231656,3231069,2018-05-01 20:36:08,1,18,2
16689642,1474230,2018-02-27 14:35:14,6,67,10
22497978,1734020,2018-09-29 00:45:22,15,19,2
15471214,1434115,2017-10-05 13:55:24,10,8,0
19852886,3764720,2018-07-09 03:22:22,9,10,1
25296579,4235045,2018-12-12 22:10:01,10,20,0
25554715,1496838,2018-12-20 19:29:53,30,14,0
17413816,3281883,2018-04-06 22:51:49,18,29,1
14235787,1630346,2017-03-13 10:25:58,9,6,0
20769881,1117944,2018-08-12 13:27:11,10,19,4
18231076,2366296,2018-05-01 20:14:52,9,16,2
18802945,2312445,2018-05-22 18:52:00,13,10,1
22506531,1860486,2018-09-29 07:56:38,9,6,1
16979109,992716,2018-03-17 21:35:53,11,17,7
13683142,1571199,2016-11-05 22:04:15,10,3,0
50057743,2573616,2019-08-21 11:11:48,10,39,5
23182431,4611379,2018-10-15 11:08:24,6,15,4
29196721,3597635,2019-03-26 21:57:13,16,22,1
13348660,1175012,2016-07-31 11:34:04,7,0,0
16264052,2350482,2018-01-15 22:06:49,12,9,0
17065845,1567292,2018-03-22 22:43:12,5,24,2
19335722,2308460,2018-06-15 16:57:15,10,20,2
14380122,1672975,2017-04-07 16:09:41,16,2,0
15667432,1182492,2017-11-03 15:39:53,9,45,3
21233409,3105615,2018-08-28 01:35:50,9,22,0
17404792,1849105,2018-04-06 15:34:16,1,18,2
19285224,3394968,2018-06-13 11:54:16,9,24,4
16347251,3065787,2018-01-26 20:20:00,9,17,0
15315075,1814533,2017-09-09 08:57:03,9,9,0
